type,x,y,z,yaw,scale
AppleArch,-23.3564,-0.0301,18.0220,135.00,0.2941
AppleArch,-23.3564,-0.0301,17.8336,135.00,0.2941
AppleArch,-23.3564,-0.0301,17.6516,135.00,0.2941
AppleArch,-25.1495,-0.0301,6.7950,-42.18,0.2941
AppleArch,-25.1495,-0.0301,6.6066,-42.18,0.2941
AppleArch,-25.1495,-0.0301,6.4246,-42.18,0.2941
AppleArch,-21.8233,-0.0301,18.0220,135.00,0.2941
AppleArch,-21.8233,-0.0301,17.8336,135.00,0.2941
AppleArch,-21.8233,-0.0301,17.6516,135.00,0.2941
AppleArch,-23.6164,-0.0301,6.7950,-42.18,0.2941
AppleArch,-23.6164,-0.0301,6.6066,-42.18,0.2941
AppleArch,-23.6164,-0.0301,6.4246,-42.18,0.2941
AppleArch,-20.3642,-0.0301,18.0220,135.00,0.2941
AppleArch,-20.3642,-0.0301,17.8336,135.00,0.2941
AppleArch,-20.3642,-0.0301,17.6516,135.00,0.2941
AppleArch,-22.1572,-0.0301,6.7950,-42.18,0.2941
AppleArch,-22.1572,-0.0301,6.6066,-42.18,0.2941
AppleArch,-22.1572,-0.0301,6.4246,-42.18,0.2941
AppleArch,-17.3548,-0.0301,18.0220,135.00,0.2941
AppleArch,-17.3548,-0.0301,17.8336,135.00,0.2941
AppleArch,-17.3548,-0.0301,17.6516,135.00,0.2941
AppleArch,-19.1479,-0.0301,6.7950,-42.18,0.2941
AppleArch,-19.1479,-0.0301,6.6066,-42.18,0.2941
AppleArch,-19.1479,-0.0301,6.4246,-42.18,0.2941
AppleArch,-15.8132,-0.0301,18.0220,135.00,0.2941
AppleArch,-15.8132,-0.0301,17.8336,135.00,0.2941
AppleArch,-15.8132,-0.0301,17.6516,135.00,0.2941
AppleArch,-17.6062,-0.0301,6.7950,-42.18,0.2941
AppleArch,-17.6062,-0.0301,6.6066,-42.18,0.2941
AppleArch,-17.6062,-0.0301,6.4246,-42.18,0.2941
AppleArch,-8.0900,-0.5377,-0.4606,-225.00,0.2941
AppleArch,-8.0900,-0.5377,-0.6490,-225.00,0.2941
AppleArch,-8.0900,-0.5377,-0.8310,-225.00,0.2941
AppleArch,-8.2447,-0.5377,-0.4025,-42.18,0.2941
AppleArch,-8.2447,-0.5377,-0.5909,-42.18,0.2941
AppleArch,-8.2447,-0.5377,-0.7728,-42.18,0.2941
AppleArch,-6.5569,-0.5377,-0.4606,-225.00,0.2941
AppleArch,-6.5569,-0.5377,-0.6490,-225.00,0.2941
