x,y,z,pen,layer
1.12158,0.13514,0,0,0
1.00869,0.14216,0,1,0
0.89997,0.16265,0,1,0
0.79626,0.19577,0,1,0
0.69842,0.24066,0,1,0
0.60729,0.29650,0,1,0
0.52371,0.36242,0,1,0
0.44853,0.43758,0,1,0
0.38260,0.52114,0,1,0
0.32675,0.61226,0,1,0
0.28185,0.71008,0,1,0
0.24872,0.81376,0,1,0
0.22823,0.92245,0,1,0
0.22121,1.03532,0,1,0
0.22823,1.14819,0,1,0
0.24872,1.25688,0,1,0
0.28185,1.36056,0,1,0
0.32675,1.45838,0,1,0
0.38260,1.54950,0,1,0
0.44853,1.63306,0,1,0
0.52371,1.70822,0,1,0
0.60729,1.77414,0,1,0
0.69842,1.82998,0,1,0
0.79626,1.87487,0,1,0
0.89997,1.90799,0,1,0
1.00869,1.92848,0,1,0
1.12158,1.93550,0,1,0
1.23447,1.92848,0,1,0
1.34318,1.90799,0,1,0
1.44689,1.87487,0,1,0
1.54473,1.82998,0,1,0
1.63586,1.77414,0,1,0
1.71944,1.70822,0,1,0
1.79462,1.63306,0,1,0
1.86056,1.54950,0,1,0
1.91640,1.45838,0,1,0
1.96130,1.36056,0,1,0
1.99443,1.25688,0,1,0
2.01492,1.14819,0,1,0
2.02194,1.03532,0,1,0
2.01492,0.92245,0,1,0
1.99443,0.81376,0,1,0
1.96131,0.71008,0,1,0
1.91640,0.61226,0,1,0
1.86056,0.52114,0,1,0
1.79462,0.43758,0,1,0
1.71944,0.36242,0,1,0
1.63586,0.29650,0,1,0
1.54473,0.24066,0,1,0
1.44689,0.19577,0,1,0
1.34318,0.16265,0,1,0
1.23447,0.14216,0,1,0
1.12158,0.13514,0,1,0
1.05938,1.78129,0,0,0
1.05946,1.78255,0,1,0
1.05968,1.78377,0,1,0
1.06006,1.78494,0,1,0
1.06056,1.78603,0,1,0
1.06119,1.78705,0,1,0
1.06192,1.78799,0,1,0
1.06277,1.78883,0,1,0
1.06370,1.78957,0,1,0
1.06473,1.79020,0,1,0
1.06582,1.79070,0,1,0
1.06699,1.79107,0,1,0
1.06820,1.79130,0,1,0
1.06947,1.79138,0,1,0
1.07074,1.79130,0,1,0
1.07195,1.79107,0,1,0
1.07312,1.79070,0,1,0
1.07421,1.79020,0,1,0
1.07524,1.78957,0,1,0
1.07617,1.78883,0,1,0
1.07702,1.78799,0,1,0
1.07775,1.78705,0,1,0
1.07838,1.78603,0,1,0
1.07888,1.78494,0,1,0
1.07926,1.78377,0,1,0
1.07949,1.78255,0,1,0
1.07956,1.78129,0,1,0
1.07949,1.78002,0,1,0
1.07926,1.77881,0,1,0
1.07888,1.77764,0,1,0
1.07838,1.77655,0,1,0
1.07775,1.77552,0,1,0
1.07702,1.77459,0,1,0
1.07617,1.77375,0,1,0
1.07524,1.77301,0,1,0
1.07421,1.77238,0,1,0
1.07312,1.77188,0,1,0
1.07195,1.77151,0,1,0
1.07074,1.77128,0,1,0
1.06947,1.77120,0,1,0
1.06820,1.77128,0,1,0
1.06699,1.77151,0,1,0
1.06582,1.77188,0,1,0
1.06473,1.77238,0,1,0
1.06370,1.77301,0,1,0
1.06277,1.77375,0,1,0
1.06192,1.77459,0,1,0
1.06119,1.77552,0,1,0
1.06056,1.77655,0,1,0
1.06006,1.77764,0,1,0
1.05968,1.77881,0,1,0
1.05946,1.78002,0,1,0
1.05938,1.78129,0,1,0
1.16301,1.76783,0,0,0
1.16308,1.76910,0,1,0
1.16331,1.77032,0,1,0
1.16369,1.77148,0,1,0
1.16419,1.77258,0,1,0
1.16482,1.77360,0,1,0
1.16555,1.77453,0,1,0
1.16640,1.77538,0,1,0
1.16733,1.77612,0,1,0
1.16836,1.77674,0,1,0
1.16945,1.77725,0,1,0
1.17062,1.77762,0,1,0
1.17183,1.77785,0,1,0
1.17310,1.77793,0,1,0
1.17437,1.77785,0,1,0
1.17558,1.77762,0,1,0
1.17675,1.77725,0,1,0
1.17784,1.77674,0,1,0
1.17887,1.77612,0,1,0
1.17980,1.77538,0,1,0
1.18065,1.77453,0,1,0
1.18138,1.77360,0,1,0
1.18201,1.77258,0,1,0
1.18251,1.77148,0,1,0
1.18289,1.77032,0,1,0
1.18311,1.76910,0,1,0
1.18319,1.76783,0,1,0
1.18311,1.76657,0,1,0
1.18289,1.76535,0,1,0
1.18251,1.76419,0,1,0
1.18201,1.76309,0,1,0
1.18138,1.76207,0,1,0
1.18065,1.76113,0,1,0
1.17980,1.76029,0,1,0
1.17887,1.75955,0,1,0
1.17784,1.75893,0,1,0
1.17675,1.75842,0,1,0
1.17558,1.75805,0,1,0
1.17437,1.75782,0,1,0
1.17310,1.75774,0,1,0
1.17183,1.75782,0,1,0
1.17062,1.75805,0,1,0
1.16945,1.75842,0,1,0
1.16836,1.75892,0,1,0
1.16733,1.75955,0,1,0
1.16640,1.76029,0,1,0
1.16555,1.76113,0,1,0
1.16482,1.76207,0,1,0
1.16419,1.76309,0,1,0
1.16369,1.76419,0,1,0
1.16331,1.76535,0,1,0
1.16308,1.76657,0,1,0
1.16301,1.76783,0,1,0
1.29894,1.58484,0,0,0
1.29901,1.58610,0,1,0
1.29924,1.58732,0,1,0
1.29962,1.58848,0,1,0
1.30012,1.58958,0,1,0
1.30075,1.59060,0,1,0
1.30148,1.59154,0,1,0
1.30233,1.59238,0,1,0
1.30326,1.59312,0,1,0
1.30429,1.59375,0,1,0
1.30538,1.59425,0,1,0
1.30655,1.59462,0,1,0
