Object_Name,X,Y,Z
Curve,0.2205,-0.0228,1.0278
Curve,0.2206,-0.0228,1.0392
Curve,0.2208,-0.0228,1.0505
Curve,0.2212,-0.0228,1.0618
Curve,0.2217,-0.0228,1.0731
Curve,0.2223,-0.0228,1.0844
Curve,0.2231,-0.0228,1.0956
Curve,0.224,-0.0228,1.1067
Curve,0.2251,-0.0228,1.1178
Curve,0.2263,-0.0228,1.1289
Curve,0.2276,-0.0228,1.14
Curve,0.2291,-0.0228,1.1509
Curve,0.2307,-0.0228,1.1619
Curve,0.2324,-0.0228,1.1728
Curve,0.2343,-0.0228,1.1837
Curve,0.2363,-0.0228,1.1945
Curve,0.2384,-0.0228,1.2053
Curve,0.2407,-0.0228,1.216
Curve,0.2431,-0.0228,1.2267
Curve,0.2456,-0.0228,1.2373
Curve,0.2483,-0.0228,1.2479
Curve,0.251,-0.0228,1.2584
Curve,0.2539,-0.0228,1.2689
Curve,0.257,-0.0228,1.2793
Curve,0.2601,-0.0228,1.2897
Curve,0.2634,-0.0228,1.3
Curve,0.2668,-0.0228,1.3102
Curve,0.2703,-0.0228,1.3204
Curve,0.274,-0.0228,1.3306
Curve,0.2778,-0.0228,1.3407
Curve,0.2816,-0.0228,1.3507
Curve,0.2857,-0.0228,1.3607
Curve,0.2898,-0.0228,1.3706
Curve,0.294,-0.0228,1.3804
Curve,0.2984,-0.0228,1.3902
Curve,0.3028,-0.0228,1.3999
Curve,0.3074,-0.0228,1.4096
Curve,0.3121,-0.0228,1.4192
Curve,0.3169,-0.0228,1.4287
Curve,0.3219,-0.0228,1.4382
Curve,0.3269,-0.0228,1.4476
Curve,0.332,-0.0228,1.4569
Curve,0.3373,-0.0228,1.4662
Curve,0.3426,-0.0228,1.4753
Curve,0.3481,-0.0228,1.4845
Curve,0.3537,-0.0228,1.4935
Curve,0.3594,-0.0228,1.5025
Curve,0.3652,-0.0228,1.5114
Curve,0.371,-0.0228,1.5202
Curve,0.377,-0.0228,1.529
Curve,0.3831,-0.0228,1.5376
Curve,0.3893,-0.0228,1.5462
Curve,0.3956,-0.0228,1.5547
Curve,0.402,-0.0228,1.5632
Curve,0.4085,-0.0228,1.5715
Curve,0.4151,-0.0228,1.5798
Curve,0.4218,-0.0228,1.588
Curve,0.4286,-0.0228,1.5961
Curve,0.4354,-0.0228,1.6042
Curve,0.4424,-0.0228,1.6121
Curve,0.4495,-0.0228,1.62
Curve,0.4566,-0.0228,1.6278
Curve,0.4639,-0.0228,1.6355
Curve,0.4712,-0.0228,1.6431
Curve,0.4787,-0.0228,1.6506
Curve,0.4862,-0.0228,1.658
Curve,0.4938,-0.0228,1.6654
Curve,0.5015,-0.0228,1.6726
Curve,0.5093,-0.0228,1.6798
Curve,0.5171,-0.0228,1.6868
Curve,0.5251,-0.0228,1.6938
Curve,0.5331,-0.0228,1.7007
Curve,0.5412,-0.0228,1.7074
Curve,0.5494,-0.0228,1.7141
Curve,0.5577,-0.0228,1.7207
Curve,0.5661,-0.0228,1.7272
Curve,0.5745,-0.0228,1.7336
Curve,0.583,-0.0228,1.7399
Curve,0.5916,-0.0228,1.7461
Curve,0.6003,-0.0228,1.7522
Curve,0.6091,-0.0228,1.7582
Curve,0.6179,-0.0228,1.7641
Curve,0.6268,-0.0228,1.7698
Curve,0.6358,-0.0228,1.7755
Curve,0.6448,-0.0228,1.7811
Curve,0.6539,-0.0228,1.7866
Curve,0.6631,-0.0228,1.7919
Curve,0.6724,-0.0228,1.7972
Curve,0.6817,-0.0228,1.8023
Curve,0.6911,-0.0228,1.8073
Curve,0.7006,-0.0228,1.8123
Curve,0.7101,-0.0228,1.8171
Curve,0.7197,-0.0228,1.8218
Curve,0.7294,-0.0228,1.8264
Curve,0.7391,-0.0228,1.8308
Curve,0.7489,-0.0228,1.8352
Curve,0.7587,-0.0228,1.8394
Curve,0.7686,-0.0228,1.8435
Curve,0.7786,-0.0228,1.8475
Curve,0.7886,-0.0228,1.8514
Curve,0.7987,-0.0228,1.8552
Curve,0.8089,-0.0228,1.8588
Curve,0.8191,-0.0228,1.8624
Curve,0.8293,-0.0228,1.8658
Curve,0.8396,-0.0228,1.8691
Curve,0.85,-0.0228,1.8722
Curve,0.8604,-0.0228,1.8752
Curve,0.8709,-0.0228,1.8781
Curve,0.8814,-0.0228,1.8809
Curve,0.892,-0.0228,1.8836
Curve,0.9027,-0.0228,1.8861
Curve,0.9133,-0.0228,1.8885
Curve,0.9241,-0.0228,1.8908
Curve,0.9348,-0.0228,1.8929
Curve,0.9457,-0.0228,1.8949
Curve,0.9565,-0.0228,1.8968
Curve,0.9674,-0.0228,1.8985
Curve,0.9784,-0.0228,1.9001
Curve,0.9894,-0.0228,1.9016
Curve,1.0004,-0.0228,1.9029
Curve,1.0115,-0.0228,1.9041
Curve,1.0226,-0.0228,1.9052
Curve,1.0338,-0.0228,1.9061
Curve,1.045,-0.0228,1.9069
Curve,1.0562,-0.0228,1.9075
Curve,1.0675,-0.0228,1.908
Curve,1.0788,-0.0228,1.9084
Curve,1.0902,-0.0228,1.9086
Curve,1.1016,-0.0228,1.9087
Curve,1.1129,-0.0228,1.9086
Curve,1.1243,-0.0228,1.9084
Curve,1.1356,-0.0228,1.908
Curve,1.1469,-0.0228,1.9075
Curve,1.1581,-0.0228,1.9069
Curve,1.1693,-0.0228,1.9061
Curve,1.1805,-0.0228,1.9052
Curve,1.1916,-0.0228,1.9041
Curve,1.2027,-0.0228,1.9029
Curve,1.2137,-0.0228,1.9016
Curve,1.2247,-0.0228,1.9001
Curve,1.2357,-0.0228,1.8985
Curve,1.2466,-0.0228,1.8968
Curve,1.2574,-0.0228,1.8949
Curve,1.2683,-0.0228,1.8929
Curve,1.279,-0.0228,1.8908
Curve,1.2898,-0.0228,1.8885
Curve,1.3004,-0.0228,1.8861
Curve,1.3111,-0.0228,1.8836
Curve,1.3217,-0.0228,1.8809
Curve,1.3322,-0.0228,1.8781
Curve,1.3427,-0.0228,1.8752
Curve,1.3531,-0.0228,1.8722
Curve,1.3635,-0.0228,1.8691
Curve,1.3738,-0.0228,1.8658
Curve,1.384,-0.0228,1.8624
Curve,1.3942,-0.0228,1.8588
Curve,1.4044,-0.0228,1.8552
Curve,1.4145,-0.0228,1.8514
Curve,1.4245,-0.0228,1.8475
Curve,1.4345,-0.0228,1.8435
Curve,1.4444,-0.0228,1.8394
Curve,1.4542,-0.0228,1.8352
Curve,1.464,-0.0228,1.8308
Curve,1.4738,-0.0228,1.8264
Curve,1.4834,-0.0228,1.8218
Curve,1.493,-0.0228,1.8171
Curve,1.5025,-0.0228,1.8123
Curve,1.512,-0.0228,1.8073
Curve,1.5214,-0.0228,1.8023
Curve,1.5307,-0.0228,1.7972
Curve,1.54,-0.0228,1.7919
Curve,1.5492,-0.0228,1.7866
Curve,1.5583,-0.0228,1.7811
Curve,1.5673,-0.0228,1.7755
Curve,1.5763,-0.0228,1.7698
Curve,1.5852,-0.0228,1.7641
Curve,1.594,-0.0228,1.7582
Curve,1.6028,-0.0228,1.7522
Curve,1.6115,-0.0228,1.7461
Curve,1.6201,-0.0228,1.7399
Curve,1.6286,-0.0228,1.7336
Curve,1.637,-0.0228,1.7272
Curve,1.6454,-0.0228,1.7207
Curve,1.6537,-0.0228,1.7141
Curve,1.6619,-0.0228,1.7074
Curve,1.67,-0.0228,1.7007
Curve,1.678,-0.0228,1.6938
Curve,1.686,-0.0228,1.6868
Curve,1.6938,-0.0228,1.6798
Curve,1.7016,-0.0228,1.6726
Curve,1.7093,-0.0228,1.6654
Curve,1.7169,-0.0228,1.658
Curve,1.7245,-0.0228,1.6506
Curve,1.7319,-0.0228,1.6431
Curve,1.7392,-0.0228,1.6355
Curve,1.7465,-0.0228,1.6278
Curve,1.7536,-0.0228,1.62
Curve,1.7607,-0.0228,1.6121
Curve,1.7677,-0.0228,1.6042
Curve,1.7745,-0.0228,1.5961
Curve,1.7813,-0.0228,1.588
Curve,1.788,-0.0228,1.5798
Curve,1.7946,-0.0228,1.5715
Curve,1.8011,-0.0228,1.5632
Curve,1.8075,-0.0228,1.5547
Curve,1.8138,-0.0228,1.5462
Curve,1.82,-0.0228,1.5376
Curve,1.8261,-0.0228,1.529
Curve,1.8321,-0.0228,1.5202
Curve,1.8379,-0.0228,1.5114
Curve,1.8437,-0.0228,1.5025
Curve,1.8494,-0.0228,1.4935
Curve,1.855,-0.0228,1.4845
Curve,1.8605,-0.0228,1.4753
Curve,1.8658,-0.0228,1.4662
Curve,1.8711,-0.0228,1.4569
Curve,1.8762,-0.0228,1.4476
Curve,1.8812,-0.0228,1.4382
Curve,1.8862,-0.0228,1.4287
Curve,1.891,-0.0228,1.4192
Curve,1.8957,-0.0228,1.4096
Curve,1.9003,-0.0228,1.3999
Curve,1.9047,-0.0228,1.3902
Curve,1.9091,-0.0228,1.3804
Curve,1.9133,-0.0228,1.3706
Curve,1.9174,-0.0228,1.3607
Curve,1.9215,-0.0228,1.3507
Curve,1.9253,-0.0228,1.3407
Curve,1.9291,-0.0228,1.3306
Curve,1.9328,-0.0228,1.3204
Curve,1.9363,-0.0228,1.3102
Curve,1.9397,-0.0228,1.3
Curve,1.943,-0.0228,1.2897
Curve,1.9461,-0.0228,1.2793
Curve,1.9492,-0.0228,1.2689
Curve,1.9521,-0.0228,1.2584
Curve,1.9548,-0.0228,1.2479
Curve,1.9575,-0.0228,1.2373
Curve,1.96,-0.0228,1.2267
Curve,1.9624,-0.0228,1.216
Curve,1.9647,-0.0228,1.2053
Curve,1.9668,-0.0228,1.1945
Curve,1.9688,-0.0228,1.1837
Curve,1.9707,-0.0228,1.1728
Curve,1.9724,-0.0228,1.1619
Curve,1.974,-0.0228,1.151
Curve,1.9755,-0.0228,1.14
Curve,1.9768,-0.0228,1.1289
Curve,1.978,-0.0228,1.1178
Curve,1.9791,-0.0228,1.1067
Curve,1.98,-0.0228,1.0956
Curve,1.9808,-0.0228,1.0844
Curve,1.9814,-0.0228,1.0731
Curve,1.982,-0.0228,1.0618
Curve,1.9823,-0.0228,1.0505
Curve,1.9825,-0.0228,1.0392
Curve,1.9826,-0.0228,1.0278
Curve,1.9825,-0.0228,1.0164
Curve,1.9823,-0.0228,1.0051
Curve,1.982,-0.0228,0.9938
Curve,1.9814,-0.0228,0.9825
Curve,1.9808,-0.0228,0.9713
Curve,1.98,-0.0228,0.9601
Curve,1.9791,-0.0228,0.9489
Curve,1.978,-0.0228,0.9378
Curve,1.9768,-0.0228,0.9267
Curve,1.9755,-0.0228,0.9157
Curve,1.974,-0.0228,0.9047
Curve,1.9724,-0.0228,0.8937
Curve,1.9707,-0.0228,0.8828
Curve,1.9688,-0.0228,0.872
Curve,1.9668,-0.0228,0.8611
Curve,1.9647,-0.0228,0.8504
Curve,1.9624,-0.0228,0.8396
Curve,1.96,-0.0228,0.829
Curve,1.9575,-0.0228,0.8183
Curve,1.9548,-0.0228,0.8078
Curve,1.9521,-0.0228,0.7972
Curve,1.9492,-0.0228,0.7868
Curve,1.9461,-0.0228,0.7763
Curve,1.943,-0.0228,0.766
Curve,1.9397,-0.0228,0.7557
Curve,1.9363,-0.0228,0.7454
Curve,1.9328,-0.0228,0.7352
Curve,1.9291,-0.0228,0.725
Curve,1.9253,-0.0228,0.715
Curve,1.9215,-0.0228,0.7049
Curve,1.9174,-0.0228,0.695
Curve,1.9133,-0.0228,0.685
Curve,1.9091,-0.0228,0.6752
Curve,1.9047,-0.0228,0.6654
Curve,1.9003,-0.0228,0.6557
Curve,1.8957,-0.0228,0.646
Curve,1.891,-0.0228,0.6364
Curve,1.8862,-0.0228,0.6269
Curve,1.8812,-0.0228,0.6175
Curve,1.8762,-0.0228,0.6081
Curve,1.8711,-0.0228,0.5987
Curve,1.8658,-0.0228,0.5895
Curve,1.8605,-0.0228,0.5803
Curve,1.855,-0.0228,0.5712
Curve,1.8494,-0.0228,0.5621
Curve,1.8437,-0.0228,0.5532
Curve,1.8379,-0.0228,0.5443
Curve,1.8321,-0.0228,0.5354
Curve,1.8261,-0.0228,0.5267
Curve,1.82,-0.0228,0.518
Curve,1.8138,-0.0228,0.5094
Curve,1.8075,-0.0228,0.5009
Curve,1.8011,-0.0228,0.4924
Curve,1.7946,-0.0228,0.4841
Curve,1.788,-0.0228,0.4758
Curve,1.7813,-0.0228,0.4676
Curve,1.7745,-0.0228,0.4595
Curve,1.7677,-0.0228,0.4515
Curve,1.7607,-0.0228,0.4435
Curve,1.7536,-0.0228,0.4356
Curve,1.7465,-0.0228,0.4279
Curve,1.7392,-0.0228,0.4202
Curve,1.7319,-0.0228,0.4126
Curve,1.7245,-0.0228,0.405
Curve,1.7169,-0.0228,0.3976
Curve,1.7093,-0.0228,0.3903
Curve,1.7016,-0.0228,0.383
Curve,1.6938,-0.0228,0.3759
Curve,1.686,-0.0228,0.3688
Curve,1.678,-0.0228,0.3618
Curve,1.67,-0.0228,0.355
Curve,1.6619,-0.0228,0.3482
Curve,1.6537,-0.0228,0.3415
Curve,1.6454,-0.0228,0.3349
Curve,1.637,-0.0228,0.3284
Curve,1.6286,-0.0228,0.322
Curve,1.6201,-0.0228,0.3157
Curve,1.6115,-0.0228,0.3095
Curve,1.6028,-0.0228,0.3034
Curve,1.594,-0.0228,0.2975
Curve,1.5852,-0.0228,0.2916
Curve,1.5763,-0.0228,0.2858
Curve,1.5673,-0.0228,0.2801
Curve,1.5583,-0.0228,0.2745
Curve,1.5492,-0.0228,0.2691
Curve,1.54,-0.0228,0.2637
Curve,1.5307,-0.0228,0.2585
Curve,1.5214,-0.0228,0.2533
Curve,1.512,-0.0228,0.2483
Curve,1.5025,-0.0228,0.2434
Curve,1.493,-0.0228,0.2386
Curve,1.4834,-0.0228,0.2339
Curve,1.4738,-0.0228,0.2293
Curve,1.464,-0.0228,0.2248
Curve,1.4542,-0.0228,0.2205
Curve,1.4444,-0.0228,0.2162
Curve,1.4345,-0.0228,0.2121
Curve,1.4245,-0.0228,0.2081
Curve,1.4145,-0.0228,0.2042
Curve,1.4044,-0.0228,0.2004
Curve,1.3942,-0.0228,0.1968
Curve,1.384,-0.0228,0.1933
Curve,1.3738,-0.0228,0.1899
Curve,1.3635,-0.0228,0.1866
Curve,1.3531,-0.0228,0.1834
Curve,1.3427,-0.0228,0.1804
Curve,1.3322,-0.0228,0.1775
Curve,1.3217,-0.0228,0.1747
Curve,1.3111,-0.0228,0.172
Curve,1.3004,-0.0228,0.1695
Curve,1.2898,-0.0228,0.1671
Curve,1.279,-0.0228,0.1649
Curve,1.2683,-0.0228,0.1627
Curve,1.2574,-0.0228,0.1607
Curve,1.2466,-0.0228,0.1588
Curve,1.2357,-0.0228,0.1571
Curve,1.2247,-0.0228,0.1555
Curve,1.2137,-0.0228,0.154
Curve,1.2027,-0.0228,0.1527
Curve,1.1916,-0.0228,0.1515
Curve,1.1805,-0.0228,0.1504
Curve,1.1693,-0.0228,0.1495
Curve,1.1581,-0.0228,0.1487
Curve,1.1469,-0.0228,0.1481
Curve,1.1356,-0.0228,0.1476
Curve,1.1243,-0.0228,0.1472
Curve,1.1129,-0.0228,0.147
Curve,1.1016,-0.0228,0.147
Curve,1.0902,-0.0228,0.147
Curve,1.0788,-0.0228,0.1472
Curve,1.0675,-0.0228,0.1476
Curve,1.0562,-0.0228,0.1481
Curve,1.045,-0.0228,0.1487
Curve,1.0338,-0.0228,0.1495
Curve,1.0226,-0.0228,0.1504
Curve,1.0115,-0.0228,0.1515
Curve,1.0004,-0.0228,0.1527
Curve,0.9894,-0.0228,0.154
Curve,0.9784,-0.0228,0.1555
Curve,0.9674,-0.0228,0.1571
Curve,0.9565,-0.0228,0.1588
Curve,0.9457,-0.0228,0.1607
Curve,0.9348,-0.0228,0.1627
Curve,0.9241,-0.0228,0.1649
Curve,0.9133,-0.0228,0.1671
Curve,0.9027,-0.0228,0.1695
Curve,0.892,-0.0228,0.172
Curve,0.8814,-0.0228,0.1747
Curve,0.8709,-0.0228,0.1775
Curve,0.8604,-0.0228,0.1804
Curve,0.85,-0.0228,0.1834
Curve,0.8396,-0.0228,0.1866
Curve,0.8293,-0.0228,0.1899
Curve,0.8191,-0.0228,0.1933
Curve,0.8089,-0.0228,0.1968
Curve,0.7987,-0.0228,0.2004
Curve,0.7886,-0.0228,0.2042
Curve,0.7786,-0.0228,0.2081
Curve,0.7686,-0.0228,0.2121
Curve,0.7587,-0.0228,0.2162
Curve,0.7489,-0.0228,0.2205
Curve,0.7391,-0.0228,0.2248
Curve,0.7294,-0.0228,0.2293
Curve,0.7197,-0.0228,0.2339
Curve,0.7101,-0.0228,0.2386
